technology,parameter,value,unit,year,source,further description
Residential Central Air Conditioner,lifetime,15,years,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf"
Residential Central Air Conditioner,lifetime,15,years,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf"
Residential Central Air Conditioner,lifetime,15,years,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf"
Residential Central Air Conditioner,investment,111.1,USD/kBtu/hr,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf."
Residential Central Air Conditioner,investment,119.4,USD/kBtu/hr,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf."
Residential Central Air Conditioner,investment,147.8,USD/kBtu/hr,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf."
Residential Central Air Conditioner,investment,148.6,USD/kBtu/hr,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf."
Residential Central Air Conditioner,investment,148.6,USD/kBtu/hr,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf."
Residential Central Air Conditioner,investment,148.6,USD/kBtu/hr,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf."
Residential Central Air Conditioner,FOM,2.1,%/year,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf."
Residential Central Air Conditioner,FOM,2,%/year,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf."
Residential Central Air Conditioner,FOM,1.6,%/year,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf."
Residential Central Air Conditioner,FOM,1.6,%/year,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf."
Residential Central Air Conditioner,FOM,1.6,%/year,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf."
Residential Central Air Conditioner,FOM,1.6,%/year,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,"(pg.27,28) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf."
Residential Room Air Conditioner,efficiency,3.2,per unit,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Assumes CEER = EER and converts to COP
Residential Room Air Conditioner,efficiency,3.2,per unit,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Assumes CEER = EER and converts to COP
Residential Room Air Conditioner,efficiency,3.5,per unit,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Assumes CEER = EER and converts to COP
Residential Room Air Conditioner,efficiency,3.5,per unit,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Assumes CEER = EER and converts to COP
Residential Room Air Conditioner,efficiency,3.5,per unit,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Assumes CEER = EER and converts to COP
Residential Room Air Conditioner,efficiency,3.5,per unit,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Assumes CEER = EER and converts to COP
Residential Room Air Conditioner,lifetime,9,years,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Room Air Conditioner,lifetime,9,years,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Room Air Conditioner,lifetime,9,years,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Room Air Conditioner,lifetime,9,years,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Room Air Conditioner,lifetime,9,years,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Room Air Conditioner,lifetime,9,years,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Room Air Conditioner,investment,73.5,USD/kBtu/hr,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Room Air Conditioner,investment,56,USD/kBtu/hr,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Room Air Conditioner,investment,56.5,USD/kBtu/hr,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Room Air Conditioner,investment,56.5,USD/kBtu/hr,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Room Air Conditioner,investment,56.5,USD/kBtu/hr,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Room Air Conditioner,investment,56.5,USD/kBtu/hr,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Room Air Conditioner,FOM,0,%/year,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Room Air Conditioner,FOM,0,%/year,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Room Air Conditioner,FOM,0,%/year,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Room Air Conditioner,FOM,0,%/year,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Room Air Conditioner,FOM,0,%/year,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Room Air Conditioner,FOM,0,%/year,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.31) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Air-Source Heat Pump,efficiency,2.8,per unit,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Average of SEER2 and HSPF2 converted to COP
Residential Air-Source Heat Pump,efficiency,3.2,per unit,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Average of SEER2 and HSPF2 converted to COP
Residential Air-Source Heat Pump,efficiency,3.2,per unit,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Average of SEER2 and HSPF2 converted to COP
Residential Air-Source Heat Pump,efficiency,3.4,per unit,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Average of SEER2 and HSPF2 converted to COP
Residential Air-Source Heat Pump,efficiency,3.5,per unit,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Average of SEER2 and HSPF2 converted to COP
Residential Air-Source Heat Pump,efficiency,3.5,per unit,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. Average of SEER2 and HSPF2 converted to COP
Residential Air-Source Heat Pump,lifetime,15,years,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Air-Source Heat Pump,lifetime,15,years,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Air-Source Heat Pump,lifetime,15,years,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Air-Source Heat Pump,lifetime,15,years,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Air-Source Heat Pump,lifetime,15,years,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Air-Source Heat Pump,lifetime,15,years,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Air-Source Heat Pump,investment,160.8,USD/kBtu/hr,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Air-Source Heat Pump,investment,191.1,USD/kBtu/hr,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Air-Source Heat Pump,investment,191.1,USD/kBtu/hr,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Air-Source Heat Pump,investment,192.8,USD/kBtu/hr,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Air-Source Heat Pump,investment,201.1,USD/kBtu/hr,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Air-Source Heat Pump,investment,203.6,USD/kBtu/hr,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Air-Source Heat Pump,FOM,1.5,%/year,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Air-Source Heat Pump,FOM,1.2,%/year,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Air-Source Heat Pump,FOM,1.2,%/year,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Air-Source Heat Pump,FOM,1.2,%/year,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Air-Source Heat Pump,FOM,1.2,%/year,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Air-Source Heat Pump,FOM,1.2,%/year,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.39) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Ground-Source Heat Pump,efficiency,3.5,per unit,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. EER (cooling) converted to COP and averaged with COP (heating)
Residential Ground-Source Heat Pump,efficiency,4.4,per unit,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. EER (cooling) converted to COP and averaged with COP (heating)
Residential Ground-Source Heat Pump,efficiency,4.3,per unit,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. EER (cooling) converted to COP and averaged with COP (heating)
Residential Ground-Source Heat Pump,efficiency,4.3,per unit,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. EER (cooling) converted to COP and averaged with COP (heating)
Residential Ground-Source Heat Pump,efficiency,4.3,per unit,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. EER (cooling) converted to COP and averaged with COP (heating)
Residential Ground-Source Heat Pump,efficiency,4.3,per unit,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. EER (cooling) converted to COP and averaged with COP (heating)
Residential Ground-Source Heat Pump,lifetime,15,years,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Ground-Source Heat Pump,lifetime,15,years,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Ground-Source Heat Pump,lifetime,15,years,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Ground-Source Heat Pump,lifetime,15,years,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Ground-Source Heat Pump,lifetime,15,years,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Ground-Source Heat Pump,lifetime,15,years,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Ground-Source Heat Pump,investment,504.9,USD/kBtu/hr,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Ground-Source Heat Pump,investment,527.8,USD/kBtu/hr,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Ground-Source Heat Pump,investment,527.8,USD/kBtu/hr,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Ground-Source Heat Pump,investment,527.8,USD/kBtu/hr,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Ground-Source Heat Pump,investment,527.8,USD/kBtu/hr,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Ground-Source Heat Pump,investment,527.8,USD/kBtu/hr,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Ground-Source Heat Pump,FOM,0.5,%/year,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Ground-Source Heat Pump,FOM,0.5,%/year,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Ground-Source Heat Pump,FOM,0.5,%/year,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Ground-Source Heat Pump,FOM,0.5,%/year,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Ground-Source Heat Pump,FOM,0.5,%/year,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Ground-Source Heat Pump,FOM,0.5,%/year,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.45) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Storage Water Heaters,efficiency,0.58,per unit,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. UEF is assumed to be per-unit efficiency
Residential Gas-Fired Storage Water Heaters,efficiency,0.63,per unit,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. UEF is assumed to be per-unit efficiency
Residential Gas-Fired Storage Water Heaters,efficiency,0.61,per unit,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. UEF is assumed to be per-unit efficiency
Residential Gas-Fired Storage Water Heaters,efficiency,0.61,per unit,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. UEF is assumed to be per-unit efficiency
Residential Gas-Fired Storage Water Heaters,efficiency,0.61,per unit,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. UEF is assumed to be per-unit efficiency
Residential Gas-Fired Storage Water Heaters,efficiency,0.61,per unit,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. UEF is assumed to be per-unit efficiency
Residential Gas-Fired Storage Water Heaters,lifetime,13,years,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Storage Water Heaters,lifetime,13,years,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Storage Water Heaters,lifetime,14.5,years,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Storage Water Heaters,lifetime,14.5,years,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Storage Water Heaters,lifetime,14.5,years,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Storage Water Heaters,lifetime,14.5,years,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf
Residential Gas-Fired Storage Water Heaters,investment,31,USD/gal,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Storage Water Heaters,investment,56.6,USD/gal,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Storage Water Heaters,investment,30.4,USD/gal,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Storage Water Heaters,investment,30.4,USD/gal,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Storage Water Heaters,investment,30.4,USD/gal,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Storage Water Heaters,investment,30.4,USD/gal,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Storage Water Heaters,FOM,1.6,%/year,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Storage Water Heaters,FOM,0.9,%/year,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Storage Water Heaters,FOM,1.6,%/year,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Storage Water Heaters,FOM,1.6,%/year,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Storage Water Heaters,FOM,1.6,%/year,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Gas-Fired Storage Water Heaters,FOM,1.6,%/year,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.56) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Oil-Fired Storage Water Heaters,efficiency,0.51,per unit,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.59) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. UEF is assumed to be per-unit efficiency
Residential Oil-Fired Storage Water Heaters,efficiency,0.67,per unit,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.59) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. UEF is assumed to be per-unit efficiency
Residential Oil-Fired Storage Water Heaters,efficiency,0.66,per unit,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.59) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. UEF is assumed to be per-unit efficiency
Residential Oil-Fired Storage Water Heaters,efficiency,0.66,per unit,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.59) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. UEF is assumed to be per-unit efficiency
Residential Oil-Fired Storage Water Heaters,efficiency,0.66,per unit,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.59) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. UEF is assumed to be per-unit efficiency
Residential Oil-Fired Storage Water Heaters,efficiency,0.66,per unit,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.59) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf. UEF is assumed to be per-unit efficiency
Residential Oil-Fired Storage Water Heaters,lifetime,13,years,2015,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.59) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Oil-Fired Storage Water Heaters,lifetime,13,years,2020,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.59) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Oil-Fired Storage Water Heaters,lifetime,15.5,years,2022,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.59) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Oil-Fired Storage Water Heaters,lifetime,15.5,years,2030,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.59) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Oil-Fired Storage Water Heaters,lifetime,15.5,years,2040,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.59) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
Residential Oil-Fired Storage Water Heaters,lifetime,15.5,years,2050,EIA Technology Forecast Updates Residential and Commercial Building Technologies Reference Case,(pg.59) https://www.eia.gov/analysis/studies/buildings/equipcosts/pdf/full.pdf.
